Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
16.0,4135321478,10571,391194.9,230150.0,15264,2925165,427110.9,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_NNT
13.1,3385063490,9042,374371.1,213798.0,15585,905240,262489.3,nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT
12.0,3093672423,8592,360064.3,190725.0,178148,761364,241905.1,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_splitK_NTN
9.1,2348349741,1074,2186545.4,2202601.5,1959091,2334108,72417.8,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnBwdSm90<flash::CollectiveMainloopBwdSm90<(int)2, (int)2, (int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)64>, cute::C<(int)128>, cute::C<(int)128>>, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (int)2, (int)1, (int)2, (int)1, (bool)0>, flash::CollectiveEpilogueBwd<cute::tuple<cute::C<(int)64>, cute::C<(int)128>, cute::C<(int)128>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)256, (bool)0, (bool)0, (int)1>, flash::SingleTileScheduler<(bool)0, (bool)0, (bool)0, (int)128>>>>(T1::Params)"
8.0,2068982487,1432,1444820.2,1455685.5,1278753,1548392,50251.0,triton_per_fused__fused_rms_norm_backward__to_copy_add_mul_neg_slice_slice_backward_7
4.1,1054437226,1432,736338.8,736307.0,732659,740084,1251.9,triton_poi_fused__to_copy__unsafe_view_mul_pow_relu_threshold_backward_view_4
3.6,929370160,358,2596006.0,2635301.0,2380511,2829002,109376.7,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnBwdSm90<flash::CollectiveMainloopBwdSm90<(int)2, (int)2, (int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)64>, cute::C<(int)128>, cute::C<(int)128>>, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)1, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (int)2, (int)1, (int)2, (int)1, (bool)0>, flash::CollectiveEpilogueBwd<cute::tuple<cute::C<(int)64>, cute::C<(int)128>, cute::C<(int)128>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)256, (bool)0, (bool)0, (int)1>, flash::SingleTileBwdLPTScheduler<(bool)0, (int)128, (bool)0>>>>(T1::Params)"
3.3,857595237,179,4791034.8,4819871.0,4433873,5300333,244606.3,triton_red_fused__log_softmax__to_copy__unsafe_view_div_mul_prepare_softmax_online_tanh_view_17
3.2,816309019,1074,760064.3,757588.0,750387,859031,12652.6,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)128>, cute::C<(int)128>, cute::C<(int)128>>, (int)128, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)0>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)128>, cute::C<(int)128>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)256, (bool)0, (bool)0, (bool)0, (bool)0>, flash::DynamicPersistentTileScheduler<(int)256, (int)32, (bool)0, (bool)0, (bool)1>>>>(T1::Params)"
3.0,765899679,179,4278769.2,4306673.0,3915461,4810847,239057.5,triton_red_fused__log_softmax__log_softmax_backward_data__to_copy__unsafe_view_div_mul_nll_loss_backward_nll_loss_forward_tanh_tanh_backward_view_0
2.8,717575888,1432,501100.5,501101.5,498861,503629,575.1,triton_poi_fused__to_copy__unsafe_view_pow_relu_5
2.7,701637025,2864,244985.0,244838.0,235910,251622,1708.6,triton_per_fused__to_copy__unsafe_view_add_cat_mean_mul_neg_pow_rsqrt_slice_view_2
2.3,594840384,179,3323130.6,3303639.0,3275893,3526811,47566.4,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN
1.9,503392684,179,2812249.6,2814250.0,2762409,2891436,16731.4,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_NTN
1.5,375938568,1432,262526.9,262663.0,260135,264871,955.8,"void cutlass::device_kernel<flash::FlashAttnBwdPreprocess<cute::tuple<cute::C<(int)64>, cute::C<(int)128>>, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)1, (bool)0>>(T1::Params)"
1.4,366123256,1432,255672.7,255591.0,253126,260007,1177.3,triton_per_fused__to_copy__unsafe_view_add_mean_mul_pow_rsqrt_9
